Country,2012,2013,2014,2015,2016
USA,706918,650851,610636,596010,606233
China,169382,185152,200915,214093,225713
Russia,54832,57500,61622,66419,70345
Saudi Arabia,61352,70313,82527,87186,61358
France,52551,52419,53195,55342,55681
India,48804,48445,50813,51295,55631
UK,58896,56408,54938,53862,54217
Japan,41114,40940,41159,41103,41569
Germany,41180,38803,38628,39813,40985
South Korea,32876,33912,34954,36433,37265
Italy,29554,28388,26402,25295,27966
Australia,20275,20099,21814,24040,24371
Brazil,24574,24708,25201,24618,22839
Israel,14827,15654,16565,16764,17800
Canada,16619,15362,15613,15317,15505
