Country,2012,2013,2014,2015,2016
USA,313847465,320050716,318686331,325127634,323127513
China,1343239923,1385566537,1382710000,1401586609,1403500365
Russia,138082178,142833689,144498215,142098141,143964513
Saudi Arabia,26534504,28828870,30776213,29897741,32275687
France,65630692,64291280,65821000,64982894,64720690
India,1205073612,1252139596,1271702542,1282390303,1324171354
UK,63047162,63136265,64126179,63843856,65788574
Japan,127368088,127143577,127052765,126818019,127748513
Germany,81305856,82726626,82678629,82562004,81914672
South Korea,48860500,49262698,50402639,49750234,50791919
Italy,61261254,60990277,59788000,61142221,59429938
Australia,22015576,23342553,23480970,23923101,24125848
Brazil,205716890,200361925,193364000,203657210,207652865
Israel,7590758,7836000,8081000,8345000,8191828
Canada,34300083,35152400,35535300,35151728,36289822
